,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.26654989290707676,0.002053490523304064,0.0002851635569672511
1,date,0.0,0.0,0.0002851635569672511
2,new_cases_per_million_i,0.050997983506504106,0.00036089969047495936,0.0002851635569672511
3,new_deaths_per_million_i,0.05275988735627659,0.0008216328063479282,0.0002851635569672511
4,new_cases_per_million_j,0.051384994022274075,0.0003832217723735624,0.0002851635569672511
5,new_deaths_per_million_j,0.051937884401307866,0.0005573522543153276,0.0002851635569672511
6,Component_0_i,0.11652268387876774,0.0008294186544046369,0.0002851635569672511
7,Component_1_i,0.08483384927218171,0.0006982896008937494,0.0002851635569672511
8,Component_0_j,0.13409421738333657,0.0008538432522547692,0.0002851635569672511
9,Component_1_j,0.08099275592063454,0.0010258143240447803,0.0002851635569672511
