,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.1177425495655247,0.0005184036295768359,0.07744865904008788
1,date,0.0,0.0,0.07744865904008788
2,new_cases_per_million_i,0.028963654193064948,0.0005802548679268511,0.07744865904008788
3,new_deaths_per_million_i,0.014261103288779924,0.00024076191824581335,0.07744865904008788
4,new_cases_per_million_j,0.013885307622239145,0.00021558297364537656,0.07744865904008788
5,new_deaths_per_million_j,0.01970057486630501,0.0005084312927892217,0.07744865904008788
6,Component_0_i,0.03085654941488166,0.0005436482734150689,0.07744865904008788
7,Component_1_i,0.02824732047436564,0.0005258494829274322,0.07744865904008788
8,Component_0_j,0.10783375691415024,0.001403901755832893,0.07744865904008788
9,Component_1_j,0.01222631289437522,0.00019441595610588893,0.07744865904008788
