,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.20161841315287649,0.0006509062675701674,0.022818293249214867
1,date,0.11361522385796519,0.0006913754699848992,0.022818293249214867
2,new_cases_per_million_i,0.003475401717342641,9.665144469685297e-05,0.022818293249214867
3,new_deaths_per_million_i,0.003634147459666697,7.201748810755311e-05,0.022818293249214867
4,new_cases_per_million_j,0.004363605905864961,0.00010042058360222184,0.022818293249214867
5,new_deaths_per_million_j,0.0031864321667827737,6.23017300161067e-05,0.022818293249214867
6,c1_schoolclosing_i,0.010114335727239082,9.453251403687414e-05,0.022818293249214867
7,c1_schoolclosing_j,0.011203976614189298,0.00011129198970000922,0.022818293249214867
8,c2_workplaceclosing_i,0.003792473868481065,4.1112130603754186e-05,0.022818293249214867
9,c2_workplaceclosing_j,0.0041235558116356295,4.341113376744146e-05,0.022818293249214867
10,c3_cancel_events_i,0.011679377877266245,0.00011564930294531005,0.022818293249214867
11,c3_cancel_events_j,0.012327514680334162,0.00013042478301667024,0.022818293249214867
12,c4_restr_gather_i,0.009075723964959162,0.00010091543249217634,0.022818293249214867
13,c4_restr_gather_j,0.00872946837401983,9.961562580128235e-05,0.022818293249214867
14,c5_closepublictransport_i,0.005667802085907348,8.713169217420551e-05,0.022818293249214867
15,c5_closepublictransport_j,0.0063572301439756024,9.199744359774104e-05,0.022818293249214867
16,c6_stay_home_i,0.009223274519627086,9.827666782982617e-05,0.022818293249214867
17,c6_stay_home_j,0.010042656653229483,0.00012902483499529452,0.022818293249214867
18,c7_restr_internal_move_i,0.01152814487243348,0.00016888101445174211,0.022818293249214867
19,c7_restr_internal_move_j,0.011113415155102122,0.00016593034103499823,0.022818293249214867
20,c8_int_trvl_controls_i,0.0073049352636643415,8.034841996015248e-05,0.022818293249214867
21,c8_int_trvl_controls_j,0.007489038002084817,4.8760626194140324e-05,0.022818293249214867
22,h2_testingpolicy_i,0.009413065603460044,0.0001002228700352429,0.022818293249214867
23,h2_testingpolicy_j,0.008666177480286393,0.0001253084963770195,0.022818293249214867
24,h3_contacttracing_i,0.005288492243606252,0.00010226684632547758,0.022818293249214867
25,h3_contacttracing_j,0.005415686742059481,0.00012413814383870859,0.022818293249214867
