,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.24925766254997644,0.0008534676402865047,7.080012945024083e-08
1,date,0.0,0.0,7.080012945024083e-08
2,new_cases_per_million_i,0.01734906344717298,0.00022396932710863076,7.080012945024083e-08
3,new_deaths_per_million_i,0.017366566744165993,0.0002723202920520528,7.080012945024083e-08
4,new_cases_per_million_j,0.017289031220755577,0.0002966592002775681,7.080012945024083e-08
5,new_deaths_per_million_j,0.01992205080053398,0.000385960103953334,7.080012945024083e-08
6,c1_schoolclosing_i,0.026142304671532158,0.0005204323878273645,7.080012945024083e-08
7,c1_schoolclosing_j,0.02270169236465442,0.0002504818157297701,7.080012945024083e-08
8,c2_workplaceclosing_i,0.015792556161070347,0.0002746172251008204,7.080012945024083e-08
9,c2_workplaceclosing_j,0.018746120943283838,0.00020281162025680133,7.080012945024083e-08
10,c3_cancel_events_i,0.03158866585246188,0.0002777263759769382,7.080012945024083e-08
11,c3_cancel_events_j,0.022778368177801368,0.00032454587563154826,7.080012945024083e-08
12,c4_restr_gather_i,0.02260059481002024,0.00027679672025389184,7.080012945024083e-08
13,c4_restr_gather_j,0.023115713684251988,0.0002700552490118191,7.080012945024083e-08
14,c5_closepublictransport_i,0.011466115816385984,0.0001707780380214095,7.080012945024083e-08
15,c5_closepublictransport_j,0.011119965732834887,0.00023562252972818742,7.080012945024083e-08
16,c6_stay_home_i,0.014544116897986459,0.00021258821608022776,7.080012945024083e-08
17,c6_stay_home_j,0.014455125450462968,0.000292337165244523,7.080012945024083e-08
18,c7_restr_internal_move_i,0.02452671044268044,0.0005116316565614925,7.080012945024083e-08
19,c7_restr_internal_move_j,0.021020203275683314,0.0003342052187317349,7.080012945024083e-08
20,c8_int_trvl_controls_i,0.012201255442005463,0.00012492827538180678,7.080012945024083e-08
21,c8_int_trvl_controls_j,0.014107012487722734,0.00020206024114766558,7.080012945024083e-08
22,h2_testingpolicy_i,0.011745230488027099,0.00010264538129814329,7.080012945024083e-08
23,h2_testingpolicy_j,0.010041925697185799,9.576308155402467e-05,7.080012945024083e-08
24,h3_contacttracing_i,0.009993227894730537,0.00022392031972632317,7.080012945024083e-08
25,h3_contacttracing_j,0.011003703877929474,0.00024277353251788306,7.080012945024083e-08
26,new_cases_per_million_i_7,0.016338368921853186,0.00021741903108193761,7.080012945024083e-08
27,new_deaths_per_million_i_7,0.01764020493667484,0.00023690005990270412,7.080012945024083e-08
28,new_cases_per_million_j_7,0.01597229430874794,0.0003483102397080297,7.080012945024083e-08
29,new_deaths_per_million_j_7,0.01932126781334066,0.00021984648602687212,7.080012945024083e-08
30,new_cases_per_million_i_14,0.016224231356986047,0.0002659390891601605,7.080012945024083e-08
31,new_deaths_per_million_i_14,0.018931901547307277,0.0004576838042443744,7.080012945024083e-08
32,new_cases_per_million_j_14,0.015772695907186437,0.0002560211981165917,7.080012945024083e-08
33,new_deaths_per_million_j_14,0.01967227197337955,0.0001690854344435585,7.080012945024083e-08
